THREAD 252727296: 2 moves possible after move #5; creating threads
THREAD 253800448: 2 moves possible after move #5; creating threads
THREAD 254873600: 2 moves possible after move #5; creating threads
THREAD 255410176: 5 moves possible after move #6; creating threads
THREAD 254337024: 5 moves possible after move #5; creating threads
THREAD 255946752: 3 moves possible after move #5; creating threads
THREAD 256483328: 6 moves possible after move #6; creating threads
THREAD 258093056: 7 moves possible after move #5; creating threads
THREAD 257019904: 3 moves possible after move #5; creating threads
THREAD 258629632: 7 moves possible after move #5; creating threads
THREAD 259166208: 7 moves possible after move #5; creating threads
THREAD 259702784: 2 moves possible after move #5; creating threads
THREAD 260775936: 2 moves possible after move #5; creating threads
THREAD 261312512: 3 moves possible after move #5; creating threads
THREAD 260239360: 5 moves possible after move #5; creating threads
THREAD 262385664: 4 moves possible after move #5; creating threads
THREAD 262922240: 3 moves possible after move #5; creating threads
THREAD 257556480: 5 moves possible after move #5; creating threads
THREAD 261849088: 3 moves possible after move #5; creating threads
THREAD 263458816: 7 moves possible after move #5; creating threads
THREAD 263995392: 7 moves possible after move #5; creating threads
THREAD 264531968: 5 moves possible after move #5; creating threads
THREAD 265068544: 5 moves possible after move #5; creating threads
THREAD 266141696: 2 moves possible after move #5; creating threads
THREAD 265605120: 2 moves possible after move #6; creating threads
THREAD 266678272: 5 moves possible after move #6; creating threads
THREAD 268824576: 2 moves possible after move #6; creating threads
THREAD 267751424: 7 moves possible after move #5; creating threads
THREAD 267214848: 2 moves possible after move #5; creating threads
THREAD 269897728: 5 moves possible after move #6; creating threads
THREAD 269361152: 7 moves possible after move #5; creating threads
THREAD 270434304: 7 moves possible after move #5; creating threads
THREAD 270970880: 7 moves possible after move #6; creating threads
THREAD 272580608: 3 moves possible after move #5; creating threads
THREAD 272044032: 3 moves possible after move #6; creating threads
THREAD 271507456: 6 moves possible after move #6; creating threads
THREAD 273117184: 2 moves possible after move #5; creating threads
THREAD 273653760: 7 moves possible after move #6; creating threads
THREAD 274190336: 3 moves possible after move #5; creating threads
THREAD 274726912: 5 moves possible after move #6; creating threads
THREAD 275800064: 2 moves possible after move #5; creating threads
THREAD 268288000: 5 moves possible after move #6; creating threads
THREAD 276873216: 5 moves possible after move #5; creating threads
THREAD 276336640: 3 moves possible after move #5; creating threads
THREAD 277409792: 6 moves possible after move #6; creating threads
THREAD 278482944: 7 moves possible after move #5; creating threads
THREAD 277946368: 6 moves possible after move #5; creating threads
THREAD 279019520: 3 moves possible after move #5; creating threads
THREAD 279556096: 7 moves possible after move #5; creating threads
THREAD 280092672: 7 moves possible after move #6; creating threads
THREAD 280629248: 3 moves possible after move #5; creating threads
THREAD 281702400: 3 moves possible after move #6; creating threads
THREAD 281165824: 5 moves possible after move #5; creating threads
THREAD 282238976: 5 moves possible after move #5; creating threads
THREAD 275263488: 7 moves possible after move #6; creating threads
THREAD 282775552: 3 moves possible after move #5; creating threads
THREAD 283312128: 5 moves possible after move #5; creating threads
THREAD 284385280: 5 moves possible after move #5; creating threads
THREAD 283848704: 7 moves possible after move #5; creating threads
THREAD 284921856: 3 moves possible after move #5; creating threads
THREAD 285458432: 7 moves possible after move #5; creating threads
THREAD 285995008: 2 moves possible after move #6; creating threads
THREAD 286531584: 7 moves possible after move #5; creating threads
THREAD 287068160: 4 moves possible after move #5; creating threads
THREAD 287604736: 2 moves possible after move #5; creating threads
THREAD 288677888: 3 moves possible after move #5; creating threads
THREAD 291897344: 3 moves possible after move #4; creating threads
THREAD 290287616: 5 moves possible after move #5; creating threads
THREAD 290824192: 3 moves possible after move #5; creating threads
THREAD 291360768: 7 moves possible after move #4; creating threads
THREAD 289751040: 7 moves possible after move #4; creating threads
THREAD 288141312: 5 moves possible after move #6; creating threads
THREAD 289214464: 3 moves possible after move #5; creating threads
THREAD 292970496: 2 moves possible after move #5; creating threads
THREAD 293507072: 3 moves possible after move #6; creating threads
THREAD 292433920: 7 moves possible after move #4; creating threads
THREAD 294043648: 3 moves possible after move #4; creating threads
THREAD 295116800: 7 moves possible after move #6; creating threads
THREAD 295653376: 2 moves possible after move #4; creating threads
THREAD 294580224: 2 moves possible after move #5; creating threads
THREAD 296726528: 7 moves possible after move #4; creating threads
THREAD 297263104: 2 moves possible after move #6; creating threads
THREAD 297799680: 3 moves possible after move #6; creating threads
THREAD 298872832: 5 moves possible after move #4; creating threads
THREAD 298336256: 7 moves possible after move #4; creating threads
THREAD 299409408: 2 moves possible after move #4; creating threads
THREAD 299945984: 5 moves possible after move #6; creating threads
THREAD 300482560: 3 moves possible after move #6; creating threads
THREAD 301019136: 2 moves possible after move #5; creating threads
THREAD 301555712: 3 moves possible after move #6; creating threads
THREAD 302092288: 3 moves possible after move #6; creating threads
THREAD 296189952: 7 moves possible after move #4; creating threads
THREAD 303165440: 7 moves possible after move #5; creating threads
THREAD 304238592: 6 moves possible after move #6; creating threads
THREAD 305311744: 7 moves possible after move #5; creating threads
THREAD 303702016: 3 moves possible after move #6; creating threads
THREAD 304775168: 3 moves possible after move #6; creating threads
THREAD 305848320: 7 moves possible after move #6; creating threads
THREAD 306921472: 5 moves possible after move #5; creating threads
THREAD 302628864: 5 moves possible after move #6; creating threads
THREAD 308531200: 7 moves possible after move #5; creating threads
